drug_id	drug_name	rxnorm_id	drugbank_id	chebi_id
40244281	astaxanthin	18451	DB06543	40968
1149380	fluticasone	41126	DB13867	5134
42799711	Gemtuzumab ozogamicin	1294580	DB00056	\N
766209	Selegiline	9639	DB01037	9086
42904167	RICE BRAN	1356151	DB14361	\N
19041220	tenoxicam	37790	DB00469	32192
44507848	Ibrutinib	1442981	DB09053	76612
915392	Natamycin	7268	DB00826	\N
19058274	Purified Protein Derivative of Tuberculin	8948	DB11601	\N
781182	ramelteon	596205	DB00980	109549
44506782	Cholic Acid	1440856	DB02659	16359
19024636	Poloxamer 188	155152	DB11333	\N
19086560	danthron	22293	DB04816	3682
1501617	Colestipol	2685	DB00375	\N
19125582	iodine povacrylex	692863	DB09537	\N
922976	Peruvian balsam	33219	DB11482	\N
40171288	tocilizumab	612865	DB06273	\N
1503297	Metformin	6809	DB00331	6801
19012598	Vecuronium	71535	DB01339	9939
44814585	metreleptin	1491625	DB09046	\N
19003303	Metaraminol	6805	DB00610	6794
1126128	Diflunisal	3393	DB00861	39669
1369939	6-Aminocaproic Acid	99	DB00513	57826
19007422	Moxisylyte	10561	DB09205	94754
1141018	carbinoxamine	20220	DB00748	3398
908921	calcipotriene	29365	DB02300	50749
19000732	Thyroglobulin	10565	DB01584	\N
1363516	5-Hydroxytryptophan	94	DB02959	58266
735979	Risperidone	35636	DB00734	8871
1329241	Bleomycin	1622	DB00290	22907
939881	Capsaicin	1992	DB06774	3374
940183	Carbachol	1999	DB00411	3385
940535	sulconazole	37319	DB06820	77776
1717704	valacyclovir	73645	DB00577	35854
40236897	Roflumilast	1091836	DB01656	47657
1236744	Terbutaline	10368	DB00871	9449
902427	Timolol	10600	DB00373	9599
981709	dorzolamide	60207	DB00869	4702
906902	Lactobacillus reuteri	285156	DB14224	\N
42898412	Aluminum	1311504	DB01370	28984
1308473	tinzaparin	69646	DB06822	\N
40239985	fidaxomicin	1111103	DB08874	68590
19069078	Gallium 67 citrate	272758	DB06784	31645
19023450	rilonacept	763450	DB06372	\N
923829	Opium	7676	DB11130	\N
528301	Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine	797635	DB10800	\N
19129635	Opipramol	7674	DB12930	94614
1036059	Antipyrine	1001	DB01435	31225
19100414	strontium chloride	37175	DB13987	\N
42903834	Esculin	1314351	DB13155	4853
1119510	Dextromethorphan	3289	DB00514	92579
1154332	Pseudoephedrine	8896	DB00852	51209
1592085	Lovastatin	6472	DB00227	40303
1517824	Niacin	7393	DB00627	15940
1112807	Aspirin	1191	DB00945	15365
1163944	Guaifenesin	5032	DB00874	5551
19029488	Diosmin	3489	DB08995	4631
19024246	Dichloroacetate	3347	DB08809	36386
1709170	meropenem	29561	DB00760	43968
19100438	temocillin	37775	DB12343	51817
1301065	Dalteparin	67109	DB06779	\N
1301025	Enoxaparin	67108	DB01225	\N
42899779	Serotonin	1311214	DB08839	28790
1734104	Azithromycin	18631	DB00207	2955
19011021	moxonidine	30257	DB09242	7009
909021	medrysone	29439	DB00253	34829
19030493	Bromhexine	1753	DB09019	77032
19030387	Bromelains	1752	DB13281	\N
1135766	Phenylephrine	8163	DB00388	8093
40224234	microcrystalline cellulose	1000577	DB14158	\N
1135710	Phenylbutazone	8160	DB00812	48574
908523	Mineral Oil	6972	DB11057	\N
19011067	temoporfin	115243	DB11630	9437
19059006	Magnesium glycinate	476818	DB11189	\N
1352141	Factor VIIa	4256	DB00036	\N
19095467	ethyl loflazepate	24524	DB01545	31573
19077117	Hetastarch	5531	DB09106	\N
909959	alefacept	299635	DB00092	\N
1140643	Sumatriptan	37418	DB00669	10650
19113013	fluindione	50097	DB13136	134975
1343039	Triptorelin	38782	DB06825	63633
902722	Tobramycin	10627	DB00684	28864
967562	loteprednol etabonate	52177	DB14596	31784
1518198	norelgestromin	326374	DB06713	135398
912263	certolizumab pegol	709271	DB08904	\N
19053565	periciazine	8766	DB01608	31981
953391	Propantheline	8761	DB00782	8481
44814600	tasimelteon	1490468	DB09071	79042
19089969	clevidipine	233603	DB04920	135738
792263	Loxapine	6475	DB00408	50841
1174888	Hydrocodone	5489	DB00956	5779
713196	interferon beta-1b	72257	DB00068	\N
1125315	Acetaminophen	161	DB00316	46195
1503184	Mestranol	6782	DB01357	6784
19110751	MELITRACEN	446248	DB13384	135214
1595799	Ferrous fumarate	24941	DB14491	31607
42873638	carfilzomib	1302966	DB08889	65347
19087090	Amantadine	620	DB00915	2618
19067271	Iotrolan	51474	DB09487	31715
914335	Atropine	1223	DB00572	78734
1331247	Pentoxifylline	8013	DB00806	7986
40228152	dabigatran etexilate	1037042	DB06695	70746
19031224	Pentostatin	8011	DB00552	\N
19131064	Sodium Stibogluconate	8010	DB05630	28148
992716	Mafenide	6572	DB06795	6633
920293	Nitrofurantoin	7454	DB00698	71415
920378	Nitrofurazone	7455	DB00336	\N
19124906	Magnesium	6574	DB14513	\N
19109079	Interferon-beta	4381	DB14999	\N
40161532	ustekinumab	847083	DB05679	\N
1516976	insulin detemir	139825	DB01307	\N
19054702	Fibrinogen	4385	DB09222	\N
19003946	ketazolam	28181	DB01587	135556
19016440	Benperidol	1373	DB12867	93403
19016435	benorilate	1372	DB13657	135340
19016467	Bentonite	1375	DB11306	\N
19016463	Benserazide	1374	DB12783	64187
1398399	exemestane	258494	DB00990	4953
916460	Benzalkonium	1378	DB11105	\N
19097682	Genistein	25696	DB01645	28088
965748	Scopolamine	9601	DB00747	16794
19014215	SODIUM LAURYL SULFOACETATE	314832	DB13157	\N
939871	sodium phosphate	36709	DB09449	37585
42904177	perampanel	1356552	DB08883	71013
1103314	Tramadol	10689	DB00193	75725
1331235	quinapril	35208	DB00881	8713
19004539	lacidipine	28382	DB09236	135737
1381661	Iron-Dextran Complex	5992	DB00893	\N
1101554	Colchicine	2683	DB01394	23359
1151422	Probenecid	8698	DB01032	8426
19113063	nilvadipine	53692	DB06712	31911
766337	Guanidine	50675	DB00536	42820
19030692	aluminum sulfate	17621	DB11239	74768
951469	calcium acetate	214342	DB00258	3310
766814	quetiapine	51272	DB01224	8707
1326481	pegaspargase	34132	DB00059	\N
1549080	Estrogens, Conjugated (USP)	4099	DB00286	8389
19135931	Cyanocobalamin Co57	91516	DB09385	\N
19037223	Beta Carotene	19143	DB06755	17579
1541079	Corticotropin	376	DB01285	\N
19067036	idebenone	51296	DB09081	31687
19115044	prothipendyl	55244	DB12958	135182
19003201	iodixanol	27729	DB01249	31705
19122136	Atosiban	59639	DB09059	135899
19018882	oxitropium	32649	DB12086	135418
1710612	Zidovudine	11413	DB00495	10110
953076	Famotidine	4278	DB00927	4975
992956	Magnesium Hydroxide	6581	DB09104	6637
19024772	ferumoxsil	77754	DB09507	\N
986117	Ketotifen	6146	DB00920	92511
19033710	Phenacetin	8113	DB03783	8050
756018	Fluphenazine	4496	DB00623	5123
721724	Nortriptyline	7531	DB00540	7640
40166675	telavancin	473837	DB06402	71229
19056701	Somatorelin	236901	DB12656	\N
42898944	Cobalt	1310300	DB14574	27638
1310149	Warfarin	11289	DB00682	87732
1707164	Metronidazole	6922	DB00916	6909
40238930	Rilpivirine	1102270	DB08864	68606
1151789	Etanercept	214555	DB00005	\N
19030751	alverine	17627	DB01616	518413
1317640	telmisartan	73494	DB00966	9434
940864	Econazole	3743	DB01127	82873
912476	Becaplermin	115238	DB00102	\N
1322081	Betaxolol	1520	DB00195	3082
19112526	Galactose	4626	DB11735	17118
988294	dexpanthenol	22701	DB09357	\N
1196514	flunisolide	25120	DB00180	5106
996541	fluocinolone	25126	DB12553	5108
19097405	fusafungin	25437	DB08965	\N
1137529	salmeterol	36117	DB00938	64064
19068419	Glycyrrhizic Acid	26143	DB13751	15939
941577	tetrahydrozoline	37935	DB06764	28674
948490	Polyethylene Glycol 400	8514	DB11077	\N
40239116	ferrous bisglycinate	1102188	DB11210	\N
19026459	tapentadol	787390	DB06204	135935
1749083	ceftibuten	20492	DB01415	3510
44507780	eslicarbazepine	1482502	DB14575	\N
42903960	Apricot kernel oil	1318515	DB14324	\N
19010876	Uridine	11017	DB02745	16704
767410	lithium citrate	52105	DB14507	64735
1796435	Cefixime	25033	DB00671	472657
19097605	gallium nitrate	25544	DB05260	\N
1343914	zeaxanthin	39918	DB11176	27547
1337620	capecitabine	194000	DB01101	31348
19095744	ferric ammonium citrate	24897	DB09501	\N
1530014	Acetohexamide	173	DB00414	28052
19018154	alatrofloxacin	141440	DB09335	135829
930747	amcinonide	17652	DB00288	31199
40168303	levoleucovorin	877015	DB11596	63606
956630	formic acid	4537	DB01942	30751
1756524	Formaldehyde	4530	DB03843	16842
1560171	Glipizide	4821	DB01067	5384
1728416	Penicillin G	7980	DB01053	18208
1729720	Penicillin V	7984	DB00417	27446
957623	amlexanox	46307	DB01025	31205
523202	Typhoid Vaccine Live Ty21a	762595	DB11050	\N
1150836	Terfenadine	42330	DB00342	9453
1750928	Trimetrexate	42333	DB01157	\N
19137031	Ispaghula husk	104129	DB11097	\N
922868	Permethrin	33199	DB04930	34911
1037005	dronabinol	10402	DB00470	66964
1036228	Sucralfate	10156	DB00364	\N
836208	Succinylcholine	10154	DB00202	45652
911486	Glutamate	70602	DB00142	16015
1515417	Urofollitropin	134404	DB00094	\N
19136247	Sucrose	10159	DB02772	17992
19016072	certoparin	152610	DB09261	\N
836877	Tetrabenazine	10390	DB04844	64028
1036884	Tetracaine	10391	DB09085	9468
42899937	polyethylene glycol 4000	1310594	DB09287	\N
1549786	Ethinyl Estradiol	4124	DB00977	4903
1331270	Dipyridamole	3521	DB00975	4653
43014039	diclazuril	1368201	DB11398	95118
19031583	gadoxetate	802624	DB08884	\N
19066188	Secretin	9627	DB09527	34972
19092139	lepirudin	237057	DB00001	\N
19100435	talinolol	37546	DB11770	135533
1112921	Ipratropium	7213	DB00332	46659
19087208	Lactose	6211	DB04465	17716
42899537	Oil of ginger	1309388	DB14690	\N
987245	Lactulose	6218	DB00581	6359
19076414	Potassium Acetate	54987	DB14498	32029
1103640	Methadone	6813	DB00333	6807
19003644	Methacycline	6812	DB00931	6805
19003959	Methadyl Acetate	6814	DB01433	135491
704053	Methamphetamine	6816	DB01577	6809
19056694	Framycetin	4556	DB00452	7508
1192710	Chlorpheniramine	2400	DB01114	52010
19044522	Zinc Sulfate	39954	DB14548	\N
19007721	Thyrotropin	10579	DB15263	\N
1336926	tadalafil	358263	DB00820	71940
19078649	galsulfase	578033	DB01279	\N
19058410	degarelix	475230	DB06699	135961
1781406	Stavudine	59763	DB00649	63581
19013789	egg yolk phospholipids	314605	DB14233	\N
40241331	rivaroxaban	1114195	DB06228	68579
956653	Fosfomycin	4550	DB00828	28915
45775396	nintedanib	1592737	DB09079	85164
45775579	Iothalamic Acid	1546451	DB09133	31713
45775583	hypericin	1546455	DB13014	5835
19005918	borage oil	68905	DB11238	\N
1124300	Diclofenac	3355	DB00586	47381
43012198	Carnosine	1362697	DB11695	15727
1724666	Dicloxacillin	3356	DB00485	4511
19024249	Clodronic Acid	3350	DB00720	110423
924296	Dichlorphenamide	3353	DB01144	101085
40222431	cabazitaxel	996051	DB06772	63584
43013634	Glycyrrhiza glabra extract	1370435	DB14312	\N
43012199	Chloroform	1362698	DB11387	35255
43012200	Indium	1362699	DB11659	30430
981654	penciclovir	59839	DB00299	7956
1519936	Etonogestrel	14584	DB00294	50777
990028	lanthanum carbonate	234416	DB06792	\N
1325363	erlotinib	337525	DB00530	114785
42899449	Interleukin-3	1311225	DB12431	\N
730548	Bromocriptine	1760	DB01200	3181
1129625	Diphenhydramine	3498	DB01075	4636
19097481	Cinnarizine	2549	DB00568	31403
708298	Midazolam	6960	DB00683	6931
42898339	Antimony	1311407	DB13110	30513
1350489	Prazosin	8629	DB00457	8364
19035577	Phenylalanine	8156	DB00120	17295
1316354	Bendroflumethiazide	1369	DB00436	3013
19049024	Potassium	8588	DB14500	32589
19135791	Practolol	8620	DB01297	258351
956874	Furosemide	4603	DB00695	47426
19035344	Phenprocoumon	8150	DB00946	50438
19011437	icodextrin	140480	DB00702	\N
948078	pantoprazole	40790	DB00213	7915
939134	sertaconazole	36435	DB01153	83682
19027958	fesoterodine	797195	DB06702	135920
942028	tioconazole	38298	DB01007	77898
958999	carbamide peroxide	47686	DB11129	75178
19125628	Aminopyrine	695	DB01424	160246
19005015	Methohexital	6847	DB00474	102216
19007572	Valine	11115	DB00161	16414
19052447	Chenodeoxycholate	42588	DB06777	16755
1738135	efavirenz	195085	DB00625	119486
1703069	emtricitabine	276237	DB00879	31536
1710281	tenofovir disoproxil	300195	DB00300	63717
42898933	defibrotide	1311089	DB04932	\N
19095091	potassium carbonate	34300	DB13977	131526
44816332	albiglutide	1534763	DB09043	\N
19008264	Vinblastine	11198	DB00570	\N
752276	Procyclidine	8718	DB00387	8448
43532424	lysozyme	1426865	DB13260	\N
40231415	Moxidectin	1047072	DB11431	\N
975125	Hydrocortisone	5492	DB00741	17650
922570	Nystatin	7597	DB00646	7660
19135825	Chloral betaine	89808	DB01494	\N
926487	Pancreatin	7880	DB00085	\N
739138	Sertraline	36437	DB01104	9123
45774701	tafamidis	1545063	DB11644	78538
19020061	Nitrendipine	7441	DB01054	7582
19020021	Nitrazepam	7440	DB01595	7581
19111620	Folic Acid	4511	DB00158	27470
19020068	Nitric Oxide	7442	DB00435	16480
19079390	ZINC PICOLINATE	58301	DB11175	\N
715259	duloxetine	72625	DB00476	36795
19079204	Zinc Gluconate	58300	DB11248	29708
19103572	Air	411	DB09337	\N
42873635	lorcaserin	1300701	DB04871	65353
1123995	metaproterenol	7688	DB00816	83329
1341927	Enalapril	3827	DB00584	4784
19011031	Pregnenolone	114052	DB02789	16581
1130585	Pentazocine	8001	DB00652	7982
42903441	Influenza A virus	1312375	DB14380	\N
19031360	quinfamide	35216	DB12780	135493
19098548	Tenecteplase	259280	DB00031	\N
1342001	Enalaprilat	3829	DB09477	4786
45892531	blinatumomab	1597258	DB09052	\N
19029108	propamidine	34633	DB13296	87462
19086888	deflazacort	22396	DB11921	135720
918172	Benzoyl Peroxide	1418	DB09096	82405
1746940	Erythromycin	4053	DB00199	42355
964407	Salicylic Acid	9525	DB00936	16914
742267	topiramate	38404	DB00273	63631
735340	Phentermine	8152	DB00191	8080
1300153	Racepinephrine	66887	DB11124	\N
19022015	Novobiocin	7538	DB01051	28368
1401581	Metyrosine	266604	DB00765	6912
40238188	ipilimumab	1094833	DB06186	\N
44818461	siltuximab	1535218	DB09036	\N
1548111	cinacalcet	407990	DB01012	48390
19021930	Noscapine	7533	DB06174	73237
918881	oxybenzone	32673	DB01428	34283
19097684	Gestodene	25734	DB06730	135323
19136716	Taurine	10337	DB01956	507393
42709327	peginesatide	1248798	DB08894	66895
715997	donepezil	135447	DB00843	53289
1516766	repaglinide	73044	DB00912	8805
44506754	Lixisenatide	1440051	DB09265	85662
19024190	silybin	155067	DB09298	9144
1836430	Sulfamethoxazole	10180	DB01015	9332
703083	Mesoridazine	6779	DB00933	6780
19002800	tropisetron	27392	DB11699	32269
19039227	bromperidol	19777	DB12401	31305
1367500	Losartan	52175	DB00678	6541
43525900	turmeric oil	1373037	DB14692	\N
959665	Pyrethrins	8991	DB11087	\N
19045983	cinitapride	21125	DB08810	135642
740924	Edrophonium	3752	DB01010	251408
1741008	Edetic Acid	3755	DB00974	42191
1335471	benazepril	18867	DB00542	3011
19012224	Copper chloride	150596	DB09131	49553
1103518	isometheptene	27946	DB06706	134765
1756831	darunavir	460132	DB01264	367163
1777806	Ceftriaxone	2193	DB01212	29007
757627	Galantamine	4637	DB00674	42944
19122327	imidapril	60245	DB11783	135654
42903961	Potassium Ion	1318915	DB01345	29103
1395058	Chlorthalidone	2409	DB00310	3654
1315286	nilutamide	31805	DB00665	7573
1189697	eletriptan	231049	DB00216	50922
19098505	Ginkgo Biloba Leaf Extract	259265	DB01381	\N
44784806	Hypochlorite	1483317	DB11123	29222
1558471	cabergoline	47579	DB00248	3286
1312706	alemtuzumab	117055	DB00087	\N
19123864	Canrenoate	618970	DB09015	50156
19049709	lornoxicam	20890	DB06725	31783
951112	cocoa butter	21389	DB11086	\N
19064042	Saccharin	9509	DB12418	32111
19058355	Cholecystokinin	2420	DB08862	\N
989567	difenoxin	23024	DB01501	4534
1363981	S-Adenosylmethionine	9504	DB00118	67040
19037983	secnidazole	36314	DB12834	94433
44785086	simeprevir	1482790	DB06290	134743
19029306	Acetate	164	DB03166	15366
929435	Acetazolamide	167	DB00819	27690
19059796	Gliclazide	4816	DB01120	31654
1547504	rosiglitazone	84108	DB00412	50122
40172153	collagenase Clostridium histolyticum	898492	DB00048	\N
1560278	Glucagon	4832	DB00040	\N
19030376	Pentagastrin	7993	DB00183	31974
1714527	Demeclocycline	3154	DB00618	4392
1730370	Pentamidine	7994	DB00738	45081
1707800	lomefloxacin	28872	DB00978	116278
1512674	drospirenone	11636	DB01395	50838
19088079	pantothenate	62400	DB01783	7916
1762711	Ribavirin	9344	DB00811	63580
19062817	Riboflavin	9346	DB00140	17015
1368823	Altretamine	5296	DB00488	24564
1309770	Aldesleukin	70223	DB00041	\N
1768734	Hexachlorophene	5293	DB00756	5693
1378509	Topotecan	57308	DB01030	63632
1150886	chlophedianol	21254	DB04837	135207
19132906	Canrenoic Acid	81971	DB09015	50156
938268	sennosides, USP	36387	DB11365	9112
941258	Docusate	82003	DB11089	534
19136750	Teniposide	10362	DB00444	\N
732893	Bupivacaine	1815	DB00297	77431
19102231	Thymopentin	40230	DB11996	135870
932815	Levobunolol	1813	DB01210	6438
1550557	prednisolone	8638	DB00860	8378
1133201	Buprenorphine	1819	DB00921	3216
969444	Nonoxynol-9	53750	DB06804	53775
904542	Triamterene	10763	DB00384	9671
19087317	Lanolin	6227	DB11112	\N
704599	Triazolam	10767	DB00897	9674
1359548	lapatinib	480167	DB01259	49603
980867	Clioquinol	5942	DB04815	74460
19102306	AZINTAMIDE	402580	DB13992	135068
1503057	Aminoglutethimide	677	DB00357	2654
976545	potassium citrate	54993	DB09125	64733
1344996	Moricizine	40169	DB00680	6997
19018285	5-methoxypsoralen	15842	DB12216	18293
19081195	buclizine	59636	DB00354	3205
902950	Tolnaftate	10637	DB00525	9620
1389464	Levamisole	6371	DB00848	6432
700299	Thioridazine	10502	DB00679	9566
1177480	Ibuprofen	5640	DB01050	5855
1124957	Oxycodone	7804	DB00497	7852
1308738	Vitamin B 12	11248	DB00115	17439
19017585	Netilmicin	7337	DB00955	7528
19047423	abciximab	83929	DB00054	\N
19002829	Tolazoline	10634	DB00797	28502
43013182	ponatinib	1364347	DB08901	78543
537647	palivizumab	194279	DB00110	\N
19018910	Cannabinol	1976	DB14737	3360
19016063	Dequalinium	3226	DB04209	41872
1711947	Deferoxamine	3131	DB00746	4356
1385645	Interferon Alfa-n3	612937	DB00018	\N
40166461	Pralatrexate	662019	DB06813	71223
1150770	Astemizole	42328	DB00637	2896
981691	imiquimod	59943	DB00724	36704
19006951	yellow jacket venom protein	285170	DB11033	\N
723013	Diazepam	3322	DB00829	49575
937368	infliximab	191831	DB00065	\N
989878	Lidocaine	6387	DB00281	6456
1373928	Hydralazine	5470	DB01275	5775
1523280	Diazoxide	3327	DB01119	4495
1036475	Sulfanilamide	10184	DB00259	45373
45892478	L1 protein, Human papillomavirus type 58 Vaccine	1596934	DB10314	\N
1110410	Morphine	7052	DB00295	17303
45775146	peginterferon beta-1a	1546168	DB09122	\N
1318011	oxaliplatin	32592	DB00526	31941
19103699	gadodiamide	41144	DB00225	37333
19080406	ANTI-INHIBITOR COAGULANT COMPLEX	314504	DB13151	\N
1503432	pegvisomant	278739	DB00082	\N
19098514	quinupramine	35242	DB13246	135292
42904205	tofacitinib	1357536	DB08895	71200
42903876	tricaprylin	1314420	DB12176	76978
40166035	saxagliptin	857974	DB06335	71272
911064	Zinc Oxide	11423	DB09321	36560
19135793	Prednimustine	8637	DB12832	82524
1373225	Perindopril	54552	DB00790	8024
19012585	ASPARAGINASE	1156	DB00023	\N
1714319	Naltrexone	7243	DB00704	7465
19048026	cobamamide	21373	DB11191	18408
905233	Mometasone	108118	DB00764	6970
1377023	Hydroxocobalamin	5514	DB00200	27786
19087223	Cresol	62130	DB11143	\N
1326901	Papaverine	7895	DB01113	28241
1153428	fexofenadine	87636	DB00950	5050
705103	lamotrigine	28439	DB00555	6367
19053540	iobitridol	87639	DB12407	31701
19100431	sultopride	37416	DB13273	9356
1551803	Fenofibrate	8703	DB01039	5001
1169352	alpha 1-Antitrypsin	535	DB00058	\N
1351461	Procainamide	8700	DB01035	8428
19014977	Nicorandil	31748	DB09220	31905
752061	Prochlorperazine	8704	DB00433	8435
42898318	Aspartame	1311524	DB00168	2877
992308	dyclonine	23744	DB00645	4724
961145	Glycerin	4910	DB09462	17754
19011082	Cystine	3036	DB00138	16283
19122139	butyrate	596718	DB03568	30772
714684	nefazodone	31565	DB01149	7494
1114620	Nedocromil	31563	DB00716	7492
19056571	dromostanolone	23678	DB00858	34838
1341238	Terazosin	37798	DB01162	9445
986261	Colloidal oatmeal	221082	DB11286	\N
19061088	Dexmedetomidine	48937	DB00633	4466
1704758	Triclosan	10795	DB08604	164200
19070251	Spiramycin	9991	DB06145	85260
19028950	Procaterol	34530	DB01366	\N
19097471	BETAINE, ANHYDROUS	350374	DB06756	17750
19005061	ziconotide	68503	DB06283	\N
757688	aripiprazole	89013	DB01238	31236
19080550	CHROMIUM PICOLINATE	59308	DB11255	50369
1351779	Procarbazine	8702	DB01168	71417
19021940	Dextromoramide	3290	DB01529	74274
19092353	Lymecycline	6513	DB00256	59040
19027308	Potassium Hydroxide	34311	DB11153	32035
1512480	Ibandronate	115264	DB00710	\N
907879	Miconazole	6932	DB01110	82892
19105879	Ajmaline	423	DB01426	28462
915175	Bacitracin	1291	DB00626	35862
948582	Polymyxin B	8536	DB00781	\N
19052489	Alanine	426	DB00160	16977
1134439	Caffeine	1886	DB00201	27732
1164108	salicylamide	9518	DB08797	32114
1588000	Desogestrel	22656	DB00304	4453
40161354	Pentastarch	816249	DB09111	\N
19029079	promestriene	34625	DB12487	\N
904453	Esomeprazole	283742	DB00736	50275
939784	butoconazole	19884	DB00639	3240
1526475	ezetimibe	341248	DB00973	49040
1539403	Simvastatin	36567	DB00641	9150
19027339	potassium perchlorate	34318	DB09418	\N
1310353	Lutein	11359	DB00137	28838
1036252	Sulfacetamide	10169	DB00634	63845
19016959	tiratricol	13982	DB03604	\N
1507558	Nafarelin	28656	DB00666	\N
19071833	Arnica montana Extract	285208	DB14297	\N
44785094	sofosbuvir	1484911	DB08934	85083
45775020	ledipasvir	1591922	DB09027	85089
43014123	medronate	1358207	DB14078	43945
1154343	Albuterol	435	DB01001	2549
535714	Rho(D) Immune Globulin	35465	DB11597	\N
19042545	treosulfan	38508	DB11678	82557
42709320	ingenol mebutate	1242806	DB05013	66913
19003570	parecoxib	279950	DB08439	73038
40163718	prasugrel	613391	DB06209	87723
1139699	butalbital	19860	DB00241	102524
738818	Doxylamine	3642	DB00366	51380
40241937	Vemurafenib	1147220	DB08881	63637
1516800	Risedronate	73056	DB00884	8869
1153664	Propoxyphene	8785	DB00647	51173
44506753	lipegfilgrastim	1440046	DB13200	\N
1836241	Sulbactam	10167	DB09324	9321
19037560	bifonazole	19295	DB04794	78692
19006880	Uracil Mustard	10996	DB00791	9884
1383925	Isosorbide Dinitrate	6058	DB00883	6061
