"1,12-Besm"	PGMIWVSHZMWSSI-UHFFFAOYSA-N
"trans-4-[8-(3-fluorophenyl)-1,7-naphthyridin-6-yl]cyclohexanecarboxylic-acid"	XWVBOPKUSVZZPJ-UHFFFAOYSA-N
"tropanyl-3,5-dimethylbenzoate"	HDDNYFLPWFSBLN-ZSHCYNCHSA-N
(R)-(-)-apomorphine	VMWNQDUVQKEIOC-CYBMUJFWSA-N
(R)-(-)-rolipram	HJORMJIFDVBMOB-LBPRGKRZSA-N
(R)-baclofen	KPYSYYIEGFHWSV-QMMMGPOBSA-N
(S)-(+)-rolipram	HJORMJIFDVBMOB-GFCCVEGCSA-N
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol	NJEIOWSBPCZKTL-LLVKDONJSA-N
1-EBIO	CXUCKELNYMZTRT-UHFFFAOYSA-N
1-acetyl-4-methylpiperazine	YSDBJKNOEWSFGA-UHFFFAOYSA-N
1-azakenpaullone	NTSBZVCEIVPKBJ-UHFFFAOYSA-N
1-deoxymannojirimycin	LXBIFEVIBLOUGU-KVTDHHQDSA-N
1-ethyl-2-pyrrolidone	ZFPGARUNNKGOBB-UHFFFAOYSA-N
1-hexadecanal	NIOYUNMRJMEDGI-UHFFFAOYSA-N
1-hexadecanol	BXWNKGSJHAJOGX-UHFFFAOYSA-N
1-naphthyl-PP1	XSHQBIXMLULFEV-UHFFFAOYSA-N
1-octacosanol	CNNRPFQICPFDPO-UHFFFAOYSA-N
1-octanol	KBPLFHHGFOOTCA-UHFFFAOYSA-N
1-phenylbiguanide	CUQCMXFWIMOWRP-UHFFFAOYSA-N
10-DEBC	GYBXAGDWMCJZJK-UHFFFAOYSA-N
10-deacetylbaccatin	YWLXLRUDGLRYDR-ZHPRIASZSA-N
10-hydroxycamptothecin	HAWSQZCWOQZXHI-FQEVSTJZSA-N
10058-F4	SVXDHPADAXBMFB-JXMROGBWSA-N
12-O-tetradecanoylphorbol-13-acetate	PHEDXBVPIONUQT-RGYGYFBISA-N
1400W	RODUKNYOEVZQPR-UHFFFAOYSA-N
17-PA	SINAMTXBCYKFDL-WBJZGETLSA-N
17-hydroxyprogesterone-caproate	DOMWKUIIPQCAJU-LJHIYBGHSA-N
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime	NFONIVRMILHYLH-GOSISDBHSA-N
2'-C-methylguanosine	NVKAMPJSWMHVDK-GITKWUPZSA-N
2'-MeCCPA	MMPAUXMIDJWGFO-ROMFRFKVSA-N
2-(1-adamantylamino)benzoic-acid	XKZLSYWCDJZTMW-UHFFFAOYSA-N
2-(3-mercaptopropyl)pentanedioic-acid	FNLNSQHJKVQCBP-ZCFIWIBFSA-N
2-BFI	YTJOHEUHUVBKSB-UHFFFAOYSA-N
2-CMDO	OTKUTGIVEREJLL-UHFFFAOYSA-N
2-PMDQ	ONSOQRPYFKDOEB-INIZCTEOSA-N
2-TEDC	KCGLTUBCAGZLHP-XYOKQWHBSA-N
2-[1-(4-piperonyl)piperazinyl]benzothiazole	BYHKGNWKJMGHGE-UHFFFAOYSA-N
2-aminobenzenesulfonamide	YAZSBRQTAHVVGE-UHFFFAOYSA-N
2-chloro-N6-cyclopentyladenosine	XSMYYYQVWPZWIZ-IDTAVKCVSA-N
2-chloroadenosine	BIXYYZIIJIXVFW-UUOKFMHZSA-N
2-chloropyrazine	GELVZYOEQVJIRR-UHFFFAOYSA-N
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose	IRKFWNAFFNEDFV-YTLHQDLWSA-N
2-deoxyglucose	PMMURAAUARKVCB-ZXXMMSQZSA-N
2-ethoxybenzoic-acid	XDZMPRGFOOFSBL-UHFFFAOYSA-N
2-fluoro-2-deoxy-D-galactose	ZCXUVYAZINUVJD-AIECOIEWSA-N
2-fluorofucose	IRKXGKIPOMIQOD-QYESYBIKSA-N
2-hydroxyethyl-salicylate	LVYLCBNXHHHPSB-UHFFFAOYSA-N
2-hydroxyflutamide	YPQLFJODEKMJEF-UHFFFAOYSA-N
2-hydroxysaclofen	WBSMZVIMANOCNX-SECBINFHSA-N
2-iminobiotin	WWVANQJRLPIHNS-ZKWXMUAHSA-N
2-iodohippuric-acid	CORFWQGVBFFZHF-UHFFFAOYSA-N
2-iodomelatonin	FJDDSMSDZHURBJ-UHFFFAOYSA-N
2-methoxyestradiol	CQOQDQWUFQDJMK-SSTWWWIQSA-N
2-methyl-5-hydroxytryptamine	WYWNEDARFVJQSG-UHFFFAOYSA-N
2-methyl-5-nitrophenol	UMFDLIXUUJMPSI-UHFFFAOYSA-N
2-octyldodecan-1-ol	LEACJMVNYZDSKR-FQEVSTJZSA-N
2-oleoylglycerol	UPWGQKDVAURUGE-KTKRTIGZSA-N
2-oxoglutaric-acid	KPGXRSRHYNQIFN-UHFFFAOYSA-N
2-phenylmelatonin	OFCLARYYBGKCHN-UHFFFAOYSA-N
2-pyridylethylamine	XPQIPUZPSLAZDV-UHFFFAOYSA-N
2-thiouracil	ZEMGGZBWXRYJHK-UHFFFAOYSA-N
20-HETE	NNDIXBJHNLFJJP-DTLRTWKJSA-N
20-hydroxyecdysone	NKDFYOWSKOHCCO-HMIIXLFTSA-N
3'-fluorobenzylspiperone	DXZKTRNEOISOCA-UHFFFAOYSA-N
3-(4-methylbenzylidene)camphor	HEOCBCNFKCOKBX-LBONJMQPSA-N
3-AQC	IDOXKFDPDOIUMG-UHFFFAOYSA-N
3-CPMT	OCAXFDULERPAJM-IVAOSVALSA-N
3-MATIDA	KOMWRBFEDDEWEP-RXMQYKEDSA-N
3-MPPI	AQASGOHUMGAWJJ-UHFFFAOYSA-N
3-alpha-bis-(4-fluorophenyl)-methoxytropane	MHNSOBBJZCWUGS-PMOLBWCYSA-N
3-alpha-hydroxy-5-beta-androstan-17-one	QGXBDMJGAMFCBF-BNSUEQOYSA-N
3-amino-benzamide	GSCPDZHWVNUUFI-UHFFFAOYSA-N
3-anilinopropan-1-ol	GZYBSURBYCLNSM-UHFFFAOYSA-N
3-bromo-7-nitroindazole	NFSTZPMYAZRZPC-UHFFFAOYSA-N
3-bromocamphor	NJQADTYRAYFBJN-BYULHYEWSA-N
3-bromopyruvate	PRRZDZJYSJLDBS-UHFFFAOYSA-N
3-carboxy-4-hydroxyphenylglycine-(R)	CHZBCZTXSTWCIG-SSDOTTSWSA-N
3-carboxy-4-hydroxyphenylglycine-(S)	CHZBCZTXSTWCIG-ZETCQYMHSA-N
3-deazaadenosine	DBZQFUNLCALWDY-GPUHXXMPSA-N
3-deazaneplanocin-A	OMKHWTRUYNAGFG-IEBDPFPHSA-N
3-deazauridine	CBOKZNLSFMZJJA-PRQTWWFRSA-N
3-hydroxy-3-phenylpentanamide	MOHYRCCDARWQRM-LLVKDONJSA-N
3-indolebutyric-acid	JTEDVYBZBROSJT-UHFFFAOYSA-N
3-methyl-GABA	CZGLBWZXGIAIBU-SCSAIBSYSA-N
3-methyladenine	ZPBYVFQJHWLTFB-UHFFFAOYSA-N
3PO	UOWGYMNWMDNSTL-ONEGZZNKSA-N
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine	FTJXZACAQRDRNT-UHFFFAOYSA-N
4-(aminomethyl)benzoic-acid	QCTBMLYLENLHLA-UHFFFAOYSA-N
4-CMTB	AZYDQCGCBQYFSE-GFCCVEGCSA-N
4-DAMP	HYJRTXSYDAFGJK-UHFFFAOYSA-N
4-HQN	QMNUDYFKZYBWQX-UHFFFAOYSA-N
4-IBP	HELCSESNNDZLFM-UHFFFAOYSA-N
4-P-PDOT	RCYLUNPFECYGDW-AEFFLSMTSA-N
4-PPBP	HQGDPZPNAXRCSA-UHFFFAOYSA-N
4-aminohippuric-acid	HSMNQINEKMPTIC-UHFFFAOYSA-N
4-carboxy-3-hydroxyphenylglycine-(RS)	GXZSAQLJWLCLOX-SSDOTTSWSA-N
4-carboxy-3-hydroxyphenylglycine-(S)	GXZSAQLJWLCLOX-ZETCQYMHSA-N
4-chlorophenylguanidine	ZSJNJAJDBNFVCA-UHFFFAOYSA-N
4-galactosyllactose	FYGDTMLNYKFZSV-QGAOIPDPSA-N
4-hydroxy-phenazone	SKVPTPMWXJSBTF-UHFFFAOYSA-N
4-iodo-6-phenylpyrimidine	ZTCJXHNJVLUUMR-UHFFFAOYSA-N
4-iodo-L-phenylalanine	PZNQZSRPDOEBMS-MRVPVSSYSA-N
4-methylgenistein	WUADCCWRTIWANL-UHFFFAOYSA-N
4-methylhistamine	UGYXPZQILZRKJJ-UHFFFAOYSA-N
4-mu-8C	RTHHSXOVIJWFQP-UHFFFAOYSA-N
4-phenolsulfonic-acid	FEPBITJSIHRMRT-UHFFFAOYSA-N
4-propylbenzoic-acid	ATZHGRNFEFVDDJ-UHFFFAOYSA-N
4-pyrimidinecarbonitrile	ZIEWSZYVEDTXGH-UHFFFAOYSA-N
4-tert-butylphenol	QHPQWRBYOIRBIT-UHFFFAOYSA-N
4BP-TQS	YNCXHXYZTLIZTO-RLFYNMQTSA-N
4E1RCat	BBQRBOIMSKMFFO-LTGZKZEYSA-N
4EGI-1	KFRKRECSIYXARE-UHFFFAOYSA-N
4SC-202	PRXXYMVLYKJITB-IZZDOVSWSA-N
5'-chloro-5'-deoxy-ENBA-(+/-)	PVJGDYDNVNCGBT-CYDCOVMPSA-N
5-BDBD	NKYMVQPXXTZHSF-UHFFFAOYSA-N
5-FP	HPABFFGQPLJKBP-UHFFFAOYSA-N
5-HMF	NOEGNKMFWQHSLB-UHFFFAOYSA-N
5-aminolevulinic-acid	ZGXJTSGNIOSYLO-UHFFFAOYSA-N
5-carboxamidotryptamine	WKZLNEWVIAGNAW-UHFFFAOYSA-N
5-fluoro-3-pyridyl-methanol	GGGJYJXAFSEWNM-UHFFFAOYSA-N
5-fluorouracil	GHASVSINZRGABV-UHFFFAOYSA-N
5-hydroxydecanoic-acid	LMHJFKYQYDSOQO-SECBINFHSA-N
5-hydroxyectoine	KIIBBJKLKFTNQO-WHFBIAKZSA-N
5-hydroxymethyl-tolterodine	DUXZAXCGJSBGDW-HXUWFJFHSA-N
5-hydroxytryptophan	LDCYZAJDBXYCGN-VIFPVBQESA-N
5-iodo-A-85380	RKVRGRXOYDTUEY-QMMMGPOBSA-N
5-methylfurmethiodide	KOWVJDFMEZKDDT-UHFFFAOYSA-N
5-methylhydantoin-(D)	VMAQYKGITHDWKL-UWTATZPHSA-N
5-methylhydantoin-(L)	VMAQYKGITHDWKL-REOHCLBHSA-N
5-octanoylsalicylic-acid	IXIGWKNBFPKCCD-UHFFFAOYSA-N
6-aminochrysene	KIVUHCNVDWYUNP-UHFFFAOYSA-N
6-aminopenicillanic-acid	NGHVIOIJCVXTGV-ALEPSDHESA-N
6-benzylaminopurine	NWBJYWHLCVSVIJ-UHFFFAOYSA-N
6-chloromelatonin	LUINDDOUWHRIPW-UHFFFAOYSA-N
6-diazo-5-oxo-L-norleucine	UUTYCZUIECRVAL-YFKPBYRVSA-O
6-iodo-nordihydrocapsaicin	AAORACFZMYMFCG-UHFFFAOYSA-N
7-aminocephalosporanic-acid	HSHGZXNAXBPPDL-HZGVNTEJSA-N
7-chlorokynurenic-acid	UAWVRVFHMOSAPU-UHFFFAOYSA-N
7-hydroxy-DPAT	BLYMJBIZMIGWFK-HNNXBMFYSA-N
7-hydroxy-PIPAT	RTMIJLQPWFKAFE-GZTQLTBSSA-N
7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N
7-keto-DHEA	VVSMJVQHDZUPIL-XFKPDKBWSA-N
7-methoxytacrine	APQPVVOYBLOJDY-UHFFFAOYSA-N
7-methylxanthine	PFWLFWPASULGAN-UHFFFAOYSA-N
7-nitroindazole	PQCAUHUKTBHUSA-UHFFFAOYSA-N
8-M-PDOT	RVIGBTUDFAGRTQ-NSHDSACASA-N
8-bromo-cAMP	DVKQVRZMKBDMDH-UUOKFMHZSA-N
8-bromo-cGMP	YUFCOOWNNHGGOD-UMMCILCDSA-N
8-hydroxy-DPAT	ASXGJMSKWNBENU-AWEZNQCLSA-N
8-hydroxy-PIPAT	QBXHUZJZYDSLRH-MDDUGHTDSA-N
80841-78-7	QCLFSYYUWPUWQR-UHFFFAOYSA-N
9-aminoacridine	XJGFWWJLMVZSIG-UHFFFAOYSA-N
9-aminocamptothecin	FUXVKZWTXQUGMW-FQEVSTJZSA-N
9-anthracenecarboxylic-acid	XGWFJBFNAQHLEF-UHFFFAOYSA-N
A-1070722	VQPBIJGXSXEOCU-UHFFFAOYSA-N
A-1120	MEAQCLPMSVEOQF-UHFFFAOYSA-N
A-317491	VQGBOYBIENNKMI-LJAQVGFWSA-N
A-33903	MMXSDWJOQSEPSM-MRXNPFEDSA-N
A-366	BKCDJTRMYWSXMC-UHFFFAOYSA-N
A-381393	SAQMCVDGOIRQTC-UHFFFAOYSA-N
A-412997	JFCDMGGMCUKHST-UHFFFAOYSA-N
A-438079	MMPAULQSJLVKHP-UHFFFAOYSA-N
A-485	VRVJKILQRBSEAG-LFPIHBKWSA-N
A-582941	GTMRUYCIJSNXGB-GASCZTMLSA-N
A-61603	OQFCXJDXHCDLHX-NSHDSACASA-N
A-674563	BPNUQXPIQBZCMR-IBGZPJMESA-N
A-7	JLUUJHIQVIXTGT-UHFFFAOYSA-N
A-769662	CTESJDQKVOEUOY-UHFFFAOYSA-N
A-784168	SDUAWRFBHRAFBM-UHFFFAOYSA-N
A-803467	VHKBTPQDHDSBSP-UHFFFAOYSA-N
A-804598	PQYCRDPLPKGSME-AWEZNQCLSA-N
A-839977	GMVNBKZQJFRFAR-UHFFFAOYSA-N
A-867744	ABACVOXFUHDKNZ-UHFFFAOYSA-N
A-887826	JPJGFWKHSMUKFO-UHFFFAOYSA-N
A-922500	BOZRFEQDOFSZBV-DHIUTWEWSA-N
A-939572	DPYTYQFYDLYWHZ-UHFFFAOYSA-N
A-967079	HKROEBDHHKMNBZ-CHBKHGQFSA-N
A-987306	DJKJVWJQAVGLHJ-YPMHNXCESA-N
A0001	LTVDFSLWFKLJDQ-IEOSBIPESA-N
A12B4C3	KVHGJAKTBPFFNV-KUXCXQDQSA-N
A205804	QQGWEXFLMJGCAL-UHFFFAOYSA-N
A61603	OQFCXJDXHCDLHX-LLVKDONJSA-N
A66	HBPXWEPKNBHKAX-NSHDSACASA-N
A740003	PUHSRMSFDASMAE-DEOSSOPVSA-N
A77636	QLJOSZATCBCBDR-DFKUFRTHSA-N
A922500	BOZRFEQDOFSZBV-PKTZIBPZSA-N
AA-29504	SCOOTUMXCXKEAD-UHFFFAOYSA-N
AAI101	HFZITXBUTWITPT-YWVKMMECSA-O
AB-423	BBLXLHYPDOMJMO-SNVBAGLBSA-N
ABBV-744	LQPFCYWRBQRRGE-UHFFFAOYSA-N
ABC-294640	CAOTVXGYTWCKQE-BRNYJPRKSA-N
ABT-072	XMZSTQYSBYEENY-RMKNXTFCSA-N
ABT-202	LVGMMVAWLISWJD-QMMMGPOBSA-N
ABT-239	KFHYZKCRXNRKRC-MRXNPFEDSA-N
ABT-491	GDLNHSUSOZEAOR-UHFFFAOYSA-N
ABT-639	AGPIHNZOZNKRGT-CYBMUJFWSA-N
ABT-702	RQCXKDWOCUJWQZ-UHFFFAOYSA-N
ABT-724	FRPJGTNLZNXQEX-UHFFFAOYSA-N
ABT-737	HPLNQCPCUACXLM-PGUFJCEWSA-N
ABT-751	URCVCIZFVQDVPM-UHFFFAOYSA-N
ABX-1431	SQZJGTOZFRNWCX-UHFFFAOYSA-N
ABX464	OZOGDCZJYVSUBR-UHFFFAOYSA-N
AC-186	HSMUKSLNDJOZQG-UHFFFAOYSA-N
AC-261066	HSAOETBFVAWNRP-UHFFFAOYSA-N
AC-264613	RQKXQCSEZPQBNZ-QSBCOWLBSA-N
AC-55541	UCUHFWIFSHROPY-SQEMJAKJSA-N
AC-55649	HXBKPYIEQLLNBK-UHFFFAOYSA-N
AC-710	JVCWPUFNLFSKFS-UHFFFAOYSA-N
AC-7954-(+/-)	HIVBATDUVFEJFZ-IBGZPJMESA-N
AC1NDSS5	VZXULFIUJKSVJY-UHFFFAOYSA-N
AC260584	BWAKMLKESHKOHK-UHFFFAOYSA-N
ACDPP	RNGRUHWJJPTYNR-UHFFFAOYSA-N
ACPC	PAJPWUMXBYXFCZ-UHFFFAOYSA-N
ACT-132577	DKULOVKANLVDEA-UHFFFAOYSA-N
ACT-462206	NHPQGZOBHSVTAQ-IBGZPJMESA-N
ACTB-1003	GZPJCJKUZPUFAL-UHFFFAOYSA-N
ACY-1215	QGZYDVAGYRLSKP-UHFFFAOYSA-N
AD-5467	CLDJCRWXLDLJLO-CQSZACIVSA-N
ADD-233089	OKVOKULYZXODKU-UHFFFAOYSA-N
ADL5859	OPIKUXLJQFYMSC-UHFFFAOYSA-N
ADX-10059	MEDCLNYIYBERKO-UHFFFAOYSA-N
ADX-47273	VXQCCZHCFBHTTD-HNNXBMFYSA-N
AEE788	OONFNUWBHFSNBT-HXUWFJFHSA-N
AEG3482	MQUYTXDAVCOCMX-UHFFFAOYSA-N
AF38469	JWCUSQCZMQIBMR-UHFFFAOYSA-N
AFN-1252	QXTWSUQCXCWEHF-JXMROGBWSA-N
AG-1024	ABBADGFSRBWENF-UHFFFAOYSA-N
AG-14361	SEKJSSBJKFLZIT-UHFFFAOYSA-N
AG-490	TUCIOBMMDDOEMM-RIYZIHGNSA-N
AG-555	GSQOBTOAOGXIFL-LFIBNONCSA-N
AG-556	GWCNJMUSWLTSCW-SFQUDFHCSA-N
AGI-5198	FNYGWXSATBUBER-AREMUKBSSA-N
AGI-6780	CCAWRGNYALGPQH-UHFFFAOYSA-N
AGM-1470	MSHZHSPISPJWHW-FRDQJGBZSA-N
AGN-192403	SHXVJSFOJHMEEQ-AXTSPUMRSA-N
AGN-194310	LHUPKWKWYWOMSK-UHFFFAOYSA-N
AGN-195183	PNAWUIKCVQSLFG-UHFFFAOYSA-N
AGP-103	UKMSUNONTOPOIO-UHFFFAOYSA-N
AH-7614	OZCQEUZTOAAWDK-UHFFFAOYSA-N
AH11110	HSVZQQYIMKLNLN-GOSISDBHSA-N
AH6809	AQFFXPQJLZFABJ-UHFFFAOYSA-N
AI-10-49	WJBSSBFGPKTMQQ-UHFFFAOYSA-N
AIM-100	XNFHHOXCDUAYSR-SFHVURJKSA-N
AJ76-(+)	YGHLYBIUVOLKCV-SMDDNHRTSA-N
AK-7	IYAYHZZWYNXHEQ-UHFFFAOYSA-N
AKBA	HMMGKOVEOFBCAU-BCDBGHSCSA-N
AL-8697	ZVBTZTQYHOXIBC-UHFFFAOYSA-N
ALS-8112	AWSRKKBIPSQHOJ-IBCQBUCCSA-N
ALS-8176	MJVKYGMNSQJLIN-KYZVSKTDSA-N
ALX-5407	FDORQEIHOKEJNX-HSZRJFAPSA-N
AM-1241	ZUHIXXCLLBMBDW-MRXNPFEDSA-N
AM-24	VAPDZNUFNKUROY-UHFFFAOYSA-N
AM-251	BUZAJRPLUGXRAB-UHFFFAOYSA-N
AM-281	AJFFBPZYXRNAIC-UHFFFAOYSA-N
AM-404	IJBZOOZRAXHERC-DOFZRALJSA-N
AM-580	SZWKGOZKRMMLAJ-UHFFFAOYSA-N
AM-630	JHOTYHDSLIUKCJ-UHFFFAOYSA-N
AM-92016	BQBSHJUQVIWEFM-MRXNPFEDSA-N
AM095	LNDDRUPAICPXIN-GOSISDBHSA-N
AM211	OPXIRFWNLBDKQB-UHFFFAOYSA-N
AM679	VYXWHVDEWWHDLH-LJAQVGFWSA-N
AMD-3465	CWJJHESJXJQCJA-UHFFFAOYSA-N
AMD11070	WVLHHLRVNDMIAR-IBGZPJMESA-N
AMG-176	JQNINBDKGLWYMU-GEAQBIRJSA-N
AMG-208	HEAIZQNMNCHNFD-UHFFFAOYSA-N
AMG-232	DRLCSJFKKILATL-YWCVFVGNSA-N
AMG-319	KWRYMZHCQIOOEB-LBPRGKRZSA-N
AMG-337	DWHXUGDWKAIASB-CQSZACIVSA-N
AMG-487	WQTKNBPCJKRYPA-OAQYLSRUSA-N
AMG-487-(+/-)	WQTKNBPCJKRYPA-OAQYLSRUSA-N
AMG-510	NXQKSXLFSAEQCZ-SFHVURJKSA-N
AMG-517	YUTIXVXZQIQWGY-UHFFFAOYSA-N
AMG-548	RQVKVJIRFKVPBF-VWLOTQADSA-N
AMG-837	ZOPNBMMVVZRSGH-NRFANRHFSA-N
AMG-925	BBUVDDPUURMFOX-SAABIXHNSA-N
AMG-9810	GZTFUVZVLYUPRG-IZZDOVSWSA-N
AMG-PERK-44	YPPSMYLMSKHYAY-UHFFFAOYSA-N
AMG319	KWRYMZHCQIOOEB-GFCCVEGCSA-N
AMG458	GLBZSOQDAOLMGC-UHFFFAOYSA-N
AMG900	IVUGFMLRJOCGAS-UHFFFAOYSA-N
AMI-1	PCGISRHGYLRXSR-UHFFFAOYSA-N
AMN-082	DTZDSNQYNPNCPK-UHFFFAOYSA-N
AMPA-(RS)	UUDAMDVQRQNNHZ-RXMQYKEDSA-N
AMPA-(S)	UUDAMDVQRQNNHZ-YFKPBYRVSA-N
AMZ30	GUCUORSUHTZMBW-YBFXNURJSA-N
ANA-12	TUSCYCAIGRVBMD-KRWDZBQOSA-N
ANR-94	QUGDTMONBLMLLD-UHFFFAOYSA-N
AP-18	MHTJEUOFLVQMCL-NJHPPEEMSA-N
AP26113	OVDSPTSBIQCAIN-UHFFFAOYSA-N
APC-100	SEBPXHSZHLFWRL-UHFFFAOYSA-N
APD597	WPDCHTSXOPUOII-UHFFFAOYSA-N
APD668	XTRUQJBVQBUKSQ-UHFFFAOYSA-N
API-001	DGPGXHRHNRYVDH-UHFFFAOYSA-N
API-1	SPBWHPXCWJLQRU-FITJORAGSA-N
APR-246	BGBNULCRKBVAKL-SNVBAGLBSA-N
APTO-253	NIRXBXIPHUTNNI-UHFFFAOYSA-N
APY-29	WJNBSTLIALIIEW-UHFFFAOYSA-N
APY0201	RFZQYGBLRIKROZ-PCLIKHOPSA-N
APcK-110	CAMGZGMEPKFVMF-UHFFFAOYSA-N
AQ-13	NCPLTAGJJVCHOW-UHFFFAOYSA-N
AQ-RA741	BCUGCHZRMKTPMU-UHFFFAOYSA-N
AQW-051	NPDLTEZXGWRMLQ-IBGZPJMESA-N
AR-12	YULUCECVQOCQFQ-UHFFFAOYSA-N
AR-42	LAMIXXKAWNLXOC-INIZCTEOSA-N
