ENSG00000000003	O43657
ENSG00000006611	Q9Y6N9
ENSG00000006625	O75223
ENSG00000006634	Q9UBU7
ENSG00000006638	P21731
ENSG00000006652	O00458
ENSG00000006659	Q8TCE9
ENSG00000006695	Q12887
ENSG00000006704	Q9UHL9
ENSG00000006712	Q8N7H5
ENSG00000006715	P49754
ENSG00000006740	Q17R89
ENSG00000006744	Q9BQ52
ENSG00000006747	Q9Y6U3
ENSG00000006756	P51689
ENSG00000006757	P41247
ENSG00000006788	Q9UKX3
ENSG00000006831	Q86V24
ENSG00000006837	Q8IVW4
ENSG00000007001	O95045
ENSG00000007038	Q9Y6M0
ENSG00000007047	Q96L34
ENSG00000007062	O43490
ENSG00000007080	Q96CT7
ENSG00000007129	Q3KPI0
ENSG00000007168	P43034
ENSG00000007171	P35228
ENSG00000007174	Q9NYC9
ENSG00000007202	Q14667
ENSG00000007216	Q13183
ENSG00000007237	O60861
ENSG00000007255	O75865
ENSG00000007264	P42679
ENSG00000007306	Q14002
ENSG00000007312	P40259
ENSG00000007314	P35499
ENSG00000007341	Q8TDW4
ENSG00000007350	P51854
ENSG00000007372	P26367
ENSG00000007376	Q9UJJ7
ENSG00000007384	Q96CC6
ENSG00000007392	Q9NQ29
ENSG00000007402	Q9NY47
ENSG00000007516	O94812
ENSG00000007520	Q9UJK0
ENSG00000007541	Q9BRB3
ENSG00000007545	Q96RY5
ENSG00000007866	Q99594
ENSG00000007908	P16581
ENSG00000007923	Q9NVH1
ENSG00000007933	P31513
ENSG00000007944	Q8WY64
ENSG00000007952	Q9Y5S8
ENSG00000007968	Q14209
ENSG00000008018	P20618
ENSG00000008056	P17600
ENSG00000008083	Q92833
ENSG00000008086	O76039
ENSG00000008118	Q96NX5
ENSG00000008128	Q9UQ88
ENSG00000008130	O95544
ENSG00000008196	Q92481
ENSG00000008197	Q7Z6R9
ENSG00000008226	Q9Y238
ENSG00000008256	O43739
ENSG00000008277	Q9P0K1
ENSG00000008282	Q16563
ENSG00000008283	P49447
ENSG00000008294	O60271
ENSG00000008300	Q9NYQ7
ENSG00000008311	Q9UDR5
ENSG00000008323	Q3KR16
ENSG00000008324	Q9UHA2
ENSG00000008382	Q8N594
ENSG00000008394	P10620
ENSG00000008405	Q16526
ENSG00000008438	O75594
ENSG00000008441	Q14938
ENSG00000008513	Q11201
ENSG00000008516	Q9NPA2
ENSG00000008517	P24001
ENSG00000008710	P98161
ENSG00000008735	Q13387
ENSG00000008838	O75448
ENSG00000008853	Q9BYZ6
ENSG00000008869	Q9P2D3
ENSG00000008952	Q99442
ENSG00000008988	P60866
ENSG00000009307	O75534
ENSG00000009335	Q15386
ENSG00000009413	O60673
ENSG00000009694	Q9UKZ4
ENSG00000009709	P23759
ENSG00000009724	O00187
ENSG00000009765	Q6PHW0
ENSG00000009780	Q8TAV0
ENSG00000009790	Q9Y228
ENSG00000009830	Q9UKY4
ENSG00000009844	Q9NP79
ENSG00000009950	Q9NP71
ENSG00000009954	Q9UIG0
ENSG00000010017	Q96S59
ENSG00000010030	Q9Y603
ENSG00000010072	Q9H040
ENSG00000010165	Q8N6R0
ENSG00000010219	Q9NR20
ENSG00000010244	O43670
ENSG00000010256	P31930
ENSG00000010270	O95772
ENSG00000010278	P21926
ENSG00000010282	Q9HCP6
ENSG00000010292	Q15021
ENSG00000010295	Q0D2I5
ENSG00000010310	P48546
ENSG00000010318	Q9BWX1
ENSG00000010319	Q9NS98
ENSG00000010322	Q9Y2I1
ENSG00000010327	Q9NY15
ENSG00000010361	Q9BT04
ENSG00000010379	Q9NSD5
ENSG00000010404	P22304
ENSG00000010438	P35030
ENSG00000010539	P98182
ENSG00000010610	P01730
ENSG00000010626	Q53EV4
ENSG00000010671	Q06187
ENSG00000010704	Q30201
ENSG00000010803	Q96GD3
ENSG00000010810	P06241
ENSG00000010818	P31629
ENSG00000010932	Q01740
ENSG00000011007	Q14241
ENSG00000011009	O95372
ENSG00000011021	P51797
ENSG00000011028	Q9UBG0
ENSG00000011083	Q99884
ENSG00000011105	O75954
ENSG00000011114	Q9P203
ENSG00000011132	O96018
ENSG00000011143	Q9NXB0
ENSG00000011198	Q8WTS1
ENSG00000011201	P23352
ENSG00000011243	Q9ULX6
ENSG00000011258	Q05BQ5
ENSG00000011260	Q9Y5J1
ENSG00000011275	Q9NWF9
ENSG00000011295	Q6DKK2
ENSG00000011304	P26599
ENSG00000011332	Q92782
ENSG00000011347	O43581
ENSG00000011376	Q15031
ENSG00000011405	O00443
ENSG00000011422	Q03405
ENSG00000011426	Q9NQW6
ENSG00000011451	O95785
ENSG00000011454	Q9Y3P9
ENSG00000011465	P07585
ENSG00000011478	Q9NXS2
ENSG00000011485	P53041
ENSG00000011523	Q76N32
ENSG00000011566	Q8IVH8
ENSG00000011590	Q9Y2Y4
ENSG00000011600	O43914
ENSG00000011638	Q96B96
ENSG00000011677	P34903
ENSG00000012048	P38398
ENSG00000012061	P07992
ENSG00000012124	P20273
ENSG00000012171	Q13214
ENSG00000012174	O43462
ENSG00000012211	O43900
ENSG00000012223	P02788
ENSG00000012232	O43909
ENSG00000012504	Q96RI1
ENSG00000012660	Q9NYP7
ENSG00000012779	P09917
ENSG00000012817	Q9BY66
ENSG00000012822	Q9P1Z2
ENSG00000012963	Q8N806
ENSG00000012983	Q9Y4K4
ENSG00000013016	Q9NZN3
ENSG00000013275	P43686
ENSG00000013288	Q9Y2E5
ENSG00000013293	Q8TBB6
ENSG00000013297	O75508
ENSG00000013306	Q9BZJ4
ENSG00000013364	Q14764
ENSG00000013374	Q9Y5A7
ENSG00000013375	O95394
ENSG00000013392	Q9UIY3
ENSG00000013441	P49759
ENSG00000013503	Q9NW08
ENSG00000013523	Q9UNK9
ENSG00000013561	Q9UBS8
ENSG00000013563	P49184
ENSG00000013573	Q96FC9
ENSG00000013583	Q9NRV9
ENSG00000013588	Q8NFJ5
ENSG00000013619	Q13495
ENSG00000013725	P30203
ENSG00000013810	Q9Y6A5
ENSG00000014123	O94874
ENSG00000014138	Q14181
ENSG00000014164	Q8IXZ2
ENSG00000014216	P07384
ENSG00000014257	P15309
ENSG00000014641	P40925
ENSG00000014824	Q6PML9
ENSG00000014914	A4FU01
ENSG00000014919	Q7KZN9
ENSG00000015133	Q9P219
ENSG00000015153	Q8IY57
ENSG00000015171	Q15326
ENSG00000015285	P42768
ENSG00000015413	P16444
ENSG00000015475	P55957
ENSG00000015479	P43243
ENSG00000015520	Q9UHC9
ENSG00000015532	Q9H1B5
ENSG00000015568	Q99666
ENSG00000015592	Q9H169
ENSG00000015676	Q8IVD9
ENSG00000016082	P61371
ENSG00000016391	Q8NE62
ENSG00000016402	Q9UHF4
ENSG00000016490	A8K7I4
ENSG00000016602	Q14CN2
ENSG00000016864	Q68CQ7
ENSG00000017260	P98194
ENSG00000017427	P05019
ENSG00000017483	Q8WUX1
ENSG00000017797	Q15311
ENSG00000018189	Q7L099
ENSG00000018236	Q12860
ENSG00000018280	P49279
ENSG00000018408	Q9GZV5
ENSG00000018510	O00116
ENSG00000018610	Q9H5V9
ENSG00000018625	P50993
ENSG00000018699	Q6P3X3
ENSG00000018869	Q96NG8
ENSG00000019102	Q96IQ7
ENSG00000019144	Q86UU1
ENSG00000019169	Q9UEW3
ENSG00000019186	Q07973
ENSG00000019485	Q9NQV5
ENSG00000019505	Q7L8C5
ENSG00000019549	O43623
ENSG00000019582	P04233
ENSG00000019991	P14210
ENSG00000019995	Q9UGI0
ENSG00000020129	Q9UBB6
ENSG00000020181	Q96PE1
ENSG00000020256	Q9NTW7
ENSG00000020426	P51948
ENSG00000020577	Q9UPU9
ENSG00000020633	Q13761
ENSG00000020922	P49959
ENSG00000021300	Q9UF11
ENSG00000021355	P30740
ENSG00000021461	Q9HB55
ENSG00000021488	P82251
ENSG00000021574	Q9UBP0
ENSG00000021645	Q9HDB5
ENSG00000021645	Q9Y4C0
ENSG00000021762	Q9H0X9
ENSG00000021776	O60306
ENSG00000021826	P31327
ENSG00000021852	P07358
ENSG00000022267	Q13642
ENSG00000022277	Q9BY42
ENSG00000022355	P14867
ENSG00000022556	Q9NX02
ENSG00000022567	Q5BKX6
ENSG00000022840	Q8N5U6
ENSG00000022976	A8K0R7
ENSG00000023041	Q9H6R6
ENSG00000023171	Q3KR37
ENSG00000023191	P13489
ENSG00000023228	P28331
ENSG00000023287	Q8TDY2
ENSG00000023318	Q9BS26
ENSG00000023330	P13196
ENSG00000023445	Q13489
ENSG00000023516	Q9UKA4
ENSG00000023572	Q9NS18
ENSG00000023608	Q16533
ENSG00000023697	Q9Y315
ENSG00000023734	Q9Y3F4
ENSG00000023839	Q92887
ENSG00000023892	Q9H4E7
ENSG00000023902	Q53GL0
ENSG00000023909	P48507
ENSG00000024048	Q8IWV8
ENSG00000024422	Q9NZN4
ENSG00000024526	Q5TB30
ENSG00000025039	Q9NQL2
ENSG00000025156	Q03933
ENSG00000025293	Q9BVI0
ENSG00000025423	O14756
ENSG00000025434	Q13133
ENSG00000025708	P19971
ENSG00000025770	Q6IBW4
ENSG00000025772	Q15785
ENSG00000025796	Q9UGP8
ENSG00000025800	O60684
ENSG00000026025	P08670
ENSG00000026103	P25445
ENSG00000026297	O00584
ENSG00000026508	P16070
ENSG00000026559	Q9UIX4
ENSG00000026652	Q9NRZ5
ENSG00000026751	Q9NQ25
ENSG00000026950	O00481
ENSG00000027001	Q99797
ENSG00000027075	P24723
ENSG00000027644	P14616
ENSG00000027697	P15260
ENSG00000027847	Q9UBV7
ENSG00000027869	Q9NP31
ENSG00000028116	Q86Y07
ENSG00000028137	P20333
ENSG00000028203	Q9HBM0
ENSG00000028277	P09086
ENSG00000028310	Q9H8M2
ENSG00000028528	Q13596
ENSG00000028839	P62380
ENSG00000029153	Q8WYA1
ENSG00000029363	Q9NYF8
ENSG00000029364	Q9NUM3
ENSG00000029534	P16157
ENSG00000029559	P21815
ENSG00000029639	Q8WVM0
ENSG00000029725	Q15276
ENSG00000029993	O15347
ENSG00000030066	Q12769
ENSG00000030110	Q16611
ENSG00000030304	O15146
ENSG00000030419	Q9UKS7
ENSG00000030582	P28799
ENSG00000031003	Q9NYF5
ENSG00000031081	Q2M1Z3
ENSG00000031691	Q7L2Z9
ENSG00000031698	P49591
ENSG00000031823	Q9H6Z4
ENSG00000032219	P29374
ENSG00000032389	Q53HC9
ENSG00000032444	Q8IY17
ENSG00000032742	Q13099
ENSG00000033011	Q9BT22
ENSG00000033030	Q6NZY4
ENSG00000033050	Q9UG63
ENSG00000033100	Q9P2E5
ENSG00000033170	Q9BYC5
ENSG00000033178	A0AVT1
ENSG00000033327	Q9UQC2
ENSG00000033627	Q93050
ENSG00000033800	O75925
ENSG00000033867	Q9Y6M7
ENSG00000034053	Q99767
ENSG00000034152	P46734
ENSG00000034239	Q9HAE3
ENSG00000034510	P63313
ENSG00000034533	Q2TB18
ENSG00000034677	Q9NV58
ENSG00000034693	P56589
ENSG00000034713	P60520
ENSG00000034971	Q99972
ENSG00000035115	Q96HL8
ENSG00000035141	Q96C01
ENSG00000035403	P18206
ENSG00000035499	Q8WUY9
ENSG00000035664	Q9UIK4
ENSG00000035681	Q92636
ENSG00000035687	P30520
ENSG00000035720	Q9ULZ2
ENSG00000035862	P16035
ENSG00000035928	P35251
ENSG00000036054	Q9NUY8
ENSG00000036257	Q13618
ENSG00000036448	P54296
ENSG00000036473	P00480
ENSG00000036530	Q9Y6A2
ENSG00000036549	Q8IYH5
ENSG00000036565	P54219
ENSG00000036672	O75604
ENSG00000036828	P41180
ENSG00000037042	Q9NRH3
ENSG00000037241	Q9UNX3
ENSG00000037280	P35916
ENSG00000037474	Q08J23
ENSG00000037637	Q6P3S6
ENSG00000037749	P55082
ENSG00000037757	Q9BV20
ENSG00000037897	Q9UBP6
ENSG00000037965	P31273
ENSG00000038002	P20933
ENSG00000038210	Q8TCG2
ENSG00000038219	Q8NFC6
ENSG00000038274	Q9NZL9
ENSG00000038295	O43897
ENSG00000038358	Q6P2E9
ENSG00000038382	O75962
ENSG00000038427	P13611
ENSG00000038532	Q2KHT3
ENSG00000038945	P21757
ENSG00000039068	P12830
ENSG00000039123	P42285
ENSG00000039139	Q8TE73
ENSG00000039319	Q7Z3T8
ENSG00000039523	Q6ZS17
ENSG00000039537	P13671
ENSG00000039560	Q9P0K7
ENSG00000039600	O94993
ENSG00000039650	Q96T60
ENSG00000039987	Q8NFU1
ENSG00000040199	Q6ZVD8
ENSG00000040275	Q96EA4
ENSG00000040341	Q9NUL3
ENSG00000040487	Q6ZP29
ENSG00000040531	O60931
ENSG00000040608	Q9BZR6
ENSG00000040633	Q9BUL5
ENSG00000040731	Q9Y6N8
ENSG00000040933	Q96PE3
ENSG00000041353	O00194
ENSG00000041357	P25789
ENSG00000041515	Q9Y6X6
ENSG00000041802	Q9H089
ENSG00000041880	Q9Y6F1
ENSG00000041982	P24821
ENSG00000041988	Q8WTV1
ENSG00000042062	Q96MK2
ENSG00000042088	Q9NUW8
ENSG00000042286	Q9BRQ8
ENSG00000042317	Q9P0W8
ENSG00000042429	Q9NVC6
ENSG00000042445	Q6NUM9
ENSG00000042493	P40121
ENSG00000042753	P53680
ENSG00000042781	O75445
ENSG00000042813	Q9BS86
ENSG00000042832	P01266
ENSG00000042980	Q9UKQ2
ENSG00000043039	Q9UMQ3
ENSG00000043093	Q96GG9
ENSG00000043143	Q9NQC1
ENSG00000043355	O95409
ENSG00000043462	Q13094
ENSG00000043514	Q9H3H1
ENSG00000043591	P08588
ENSG00000044012	Q16661
ENSG00000044090	Q14999
ENSG00000044115	P35221
ENSG00000044446	P46019
ENSG00000044459	Q9NXG0
ENSG00000044524	P29320
ENSG00000044574	P11021
ENSG00000046604	Q14126
ENSG00000046647	Q9NWZ8
ENSG00000046651	O75665
ENSG00000046653	Q13491
ENSG00000046774	Q9UBF1
ENSG00000046889	Q70Z35
ENSG00000047056	Q9Y2I8
ENSG00000047188	Q9H6S0
ENSG00000047230	Q9NRF8
ENSG00000047249	Q9UI12
ENSG00000047315	P30876
ENSG00000047346	Q32MH5
ENSG00000047365	Q8WZ64
ENSG00000047410	P12270
ENSG00000047457	P00450
ENSG00000047578	O60303
ENSG00000047579	Q96EV8
ENSG00000047597	P51811
ENSG00000047617	Q9NQ90
ENSG00000047621	Q9NQ89
ENSG00000047634	Q9UN30
ENSG00000047644	Q9ULE0
ENSG00000047648	O43182
ENSG00000047662	Q9ULE4
ENSG00000047849	P27816
ENSG00000047932	Q9HD26
ENSG00000047936	P08922
ENSG00000048028	Q96RU2
ENSG00000048052	Q9UKV0
ENSG00000048140	Q96FV3
ENSG00000048162	Q9Y3C1
ENSG00000048342	Q9P2K1
ENSG00000048392	Q7LG56
ENSG00000048405	Q2TB10
ENSG00000048462	Q02223
ENSG00000048471	Q8TEQ0
ENSG00000048540	Q8TAP4
ENSG00000048544	P82664
ENSG00000048545	P43080
ENSG00000048649	Q96T23
ENSG00000048707	Q5THJ4
ENSG00000048740	O95319
ENSG00000048828	Q9NZB2
ENSG00000048991	Q15032
ENSG00000049089	Q14055
ENSG00000049130	P21583
ENSG00000049167	Q13216
ENSG00000049192	Q9UKP5
ENSG00000049239	O95479
ENSG00000049245	Q15836
ENSG00000049246	P56645
ENSG00000049247	O95399
ENSG00000049249	Q07011
ENSG00000049283	Q9H201
ENSG00000049323	Q14766
ENSG00000049449	Q15293
ENSG00000049540	P15502
ENSG00000049541	P35250
ENSG00000049618	Q8NFD5
ENSG00000049656	Q96KA5
ENSG00000049759	Q96PU5
ENSG00000049768	Q9BZS1
ENSG00000049769	Q6ZSY5
ENSG00000049860	P07686
ENSG00000049883	Q8WV60
ENSG00000050030	Q5QGS0
ENSG00000050130	Q9P055
ENSG00000050165	Q9UBP4
ENSG00000050327	Q12774
ENSG00000050344	Q9Y4A8
ENSG00000050393	Q96AQ8
ENSG00000050405	Q9UHB6
ENSG00000050426	Q6P1Q0
ENSG00000050438	Q2Y0W8
ENSG00000050555	Q9Y6N6
ENSG00000050628	P43115
ENSG00000050730	Q96KP6
ENSG00000050748	P45984
ENSG00000050767	Q86Y22
ENSG00000050820	P56945
ENSG00000051009	Q8N612
ENSG00000051108	Q15011
ENSG00000051128	Q9NSC5
ENSG00000051180	Q06609
ENSG00000051341	O75417
ENSG00000051382	P42338
ENSG00000051523	P13498
ENSG00000051596	Q96J01
ENSG00000051620	Q9Y5Z4
ENSG00000051825	Q99550
ENSG00000052126	Q9HAU0
ENSG00000052344	Q16651
ENSG00000052723	Q9BRV8
ENSG00000052749	Q5JTH9
ENSG00000052795	Q9P278
ENSG00000052802	Q15800
ENSG00000052841	Q96AE7
ENSG00000052850	Q9H161
ENSG00000053108	Q6MZW2
ENSG00000053254	O00409
ENSG00000053328	Q5JXM2
ENSG00000053371	O43488
ENSG00000053372	Q9UKD2
ENSG00000053438	Q16517
ENSG00000053501	Q9NZ43
ENSG00000053524	Q86YR7
ENSG00000053702	Q9BQI9
ENSG00000053747	Q16787
ENSG00000053770	Q9H0R1
ENSG00000053900	Q9UJX5
ENSG00000053918	P51787
ENSG00000054116	O43617
ENSG00000054118	Q9Y2W1
ENSG00000054148	Q9NRX4
ENSG00000054179	Q9Y5L3
ENSG00000054219	O60449
ENSG00000054267	Q4LE39
ENSG00000054277	Q9H1Y3
ENSG00000054282	Q86SQ7
ENSG00000054356	Q16849
ENSG00000054392	Q5VTY9
ENSG00000054523	O60333
ENSG00000054598	Q12948
ENSG00000054611	Q8WUA7
ENSG00000054654	Q8WXH0
ENSG00000054690	Q9ULM0
ENSG00000054793	O75110
ENSG00000054796	Q9Y5K1
ENSG00000054803	Q9NTU7
ENSG00000054938	Q6WN34
ENSG00000054965	Q92567
ENSG00000054967	Q969Z4
ENSG00000054983	P54803
ENSG00000055044	Q9Y2X3
ENSG00000055070	Q7Z422
ENSG00000055118	Q12809
ENSG00000055130	Q13616
ENSG00000055147	Q9NRY5
ENSG00000055163	Q96F07
ENSG00000055208	Q9NYJ8
ENSG00000055211	Q9NU53
ENSG00000055332	P19525
ENSG00000055483	Q9P275
ENSG00000055609	Q8NEZ4
ENSG00000055732	Q8TDD5
ENSG00000055813	Q96PX6
ENSG00000055917	Q8TB72
ENSG00000055950	Q8N983
ENSG00000055955	Q14624
ENSG00000055957	P19827
ENSG00000056050	Q9NWY4
ENSG00000056097	Q96KR1
ENSG00000056277	Q8ND82
ENSG00000056291	Q9Y5X5
ENSG00000056487	Q96EK2
ENSG00000056558	Q13077
ENSG00000056586	Q9HBD1
ENSG00000056736	Q9NRM6
ENSG00000056972	O43734
ENSG00000056998	O15488
ENSG00000057019	Q96PD2
ENSG00000057149	P29508
ENSG00000057252	P35610
ENSG00000057294	Q99959
ENSG00000057468	O15457
ENSG00000057593	P08709
ENSG00000057608	P50395
ENSG00000057657	O75626
ENSG00000057663	Q9H1Y0
ENSG00000057704	Q9ULS5
ENSG00000057757	Q9GZP4
ENSG00000057935	Q9BTC8
ENSG00000058056	Q92995
ENSG00000058063	Q9Y2G3
ENSG00000058085	Q13753
ENSG00000058091	O94921
ENSG00000058262	P61619
ENSG00000058272	O14974
ENSG00000058335	Q13972
ENSG00000058404	Q13554
ENSG00000058453	Q5TZA2
ENSG00000058600	Q9NVU0
ENSG00000058668	P23634
ENSG00000058673	O75152
ENSG00000058729	Q9BVS4
ENSG00000058799	Q9Y548
ENSG00000058804	Q9BTX1
ENSG00000058866	P49619
ENSG00000059122	Q4VC44
ENSG00000059145	Q9H9P5
ENSG00000059377	P24557
ENSG00000059378	Q9H0J9
ENSG00000059573	P54886
ENSG00000059588	Q13395
ENSG00000059691	O75879
ENSG00000059728	Q05195
ENSG00000059758	Q00537
ENSG00000059769	Q9H1X3
ENSG00000059804	P11169
ENSG00000059915	A5PKW4
ENSG00000060069	Q9Y5B0
ENSG00000060138	P16989
ENSG00000060140	Q6J9G0
ENSG00000060237	Q9H4A3
ENSG00000060339	Q8IX12
ENSG00000060491	Q9NZT2
ENSG00000060558	P30679
ENSG00000060566	Q68CJ9
ENSG00000060642	Q9NUD9
ENSG00000060656	Q92729
ENSG00000060688	Q96DI7
ENSG00000060709	O15034
ENSG00000060718	P12107
ENSG00000060749	Q2KHR3
ENSG00000060762	Q9Y5U8
ENSG00000060971	P09110
ENSG00000060982	P54687
ENSG00000061273	Q8WUI4
ENSG00000061337	Q9Y250
ENSG00000061455	Q9NQX0
ENSG00000061492	Q9H1J5
ENSG00000061656	Q9NPE6
ENSG00000061676	Q9Y2A7
ENSG00000061794	P82673
ENSG00000061918	Q02153
ENSG00000061936	Q12872
ENSG00000061938	Q07912
ENSG00000061987	Q7Z3U7
ENSG00000062038	P22223
ENSG00000062096	P54793
ENSG00000062194	Q86WP2
ENSG00000062282	Q96PD7
ENSG00000062370	Q9UJU3
ENSG00000062485	O75390
ENSG00000062524	P29376
ENSG00000062582	Q96EL2
ENSG00000062598	Q96JJ3
ENSG00000062650	Q7Z5K2
ENSG00000062716	Q96GC9
ENSG00000062725	Q92624
ENSG00000062822	P28340
ENSG00000063015	Q53EL9
ENSG00000063046	P23588
ENSG00000063127	Q9GZN6
ENSG00000063169	Q9NZM4
ENSG00000063176	Q9NRA0
ENSG00000063177	Q07020
ENSG00000063180	O75493
ENSG00000063241	Q96AB3
ENSG00000063244	P26368
ENSG00000063245	Q9Y6I3
ENSG00000063322	Q9NX70
ENSG00000063515	O15499
ENSG00000063587	Q9NSD4
ENSG00000063601	Q13613
ENSG00000063660	P35052
ENSG00000063761	Q86TW2
ENSG00000063854	Q16775
ENSG00000063978	P78317
ENSG00000064012	Q14790
ENSG00000064042	Q9UPQ0
ENSG00000064102	Q9NVM9
ENSG00000064115	Q9NS93
ENSG00000064195	O60479
ENSG00000064199	Q15506
ENSG00000064201	Q96QS1
ENSG00000064205	O76076
ENSG00000064218	Q9NQL9
ENSG00000064225	Q9Y274
ENSG00000064270	O75185
ENSG00000064300	P08138
ENSG00000064309	Q4KMG0
ENSG00000064313	Q6P1X5
ENSG00000064393	Q9H2X6
ENSG00000064419	Q9Y5L0
ENSG00000064490	O14593
ENSG00000064545	Q9NX61
ENSG00000064547	Q9HBW0
ENSG00000064601	P10619
ENSG00000064607	Q8IX01
ENSG00000064651	P55011
ENSG00000064652	Q9Y343
ENSG00000064655	O00167
ENSG00000064666	Q99439
ENSG00000064687	Q8IZY2
ENSG00000064692	Q9Y6H5
ENSG00000064703	Q9UHI6
ENSG00000064726	Q9H0C5
ENSG00000064763	Q96K12
ENSG00000064787	O75363
ENSG00000064835	P28069
ENSG00000064886	Q15782
ENSG00000064932	Q9Y2G9
ENSG00000064933	P54277
ENSG00000064961	Q9P0W2
ENSG00000064989	Q16602
ENSG00000064995	Q15544
ENSG00000064999	Q92625
ENSG00000065000	O14617
ENSG00000065029	P36508
ENSG00000065054	Q15599
ENSG00000065057	P78549
ENSG00000065060	Q6BDS2
ENSG00000065135	P08754
ENSG00000065150	O00410
ENSG00000065154	P04181
ENSG00000065183	Q9UNX4
ENSG00000065243	Q16513
ENSG00000065268	Q9BV38
ENSG00000065308	Q15035
ENSG00000065320	O95631
ENSG00000065325	O95838
ENSG00000065328	Q7L590
ENSG00000065357	P23743
ENSG00000065361	P21860
ENSG00000065371	Q9HAT0
ENSG00000065413	Q8N8A2
ENSG00000065427	Q15046
ENSG00000065457	Q9BUB4
ENSG00000065485	Q14554
ENSG00000065491	Q9NU19
ENSG00000065518	O95168
ENSG00000065526	Q96T58
ENSG00000065534	Q15746
ENSG00000065548	Q8WU90
ENSG00000065559	P45985
ENSG00000065600	Q9H813
ENSG00000065609	O60641
